nanoplastics type,surface charge,nanoplastics shape,nanoplastics size(nm),nanoplastics dose(mg/g or mg/ml),adsorption of pollutant types,pollutant types,pollutants dose(mg/g or mg/ml),environmental media,photosynthetic organisms species,organisms category,organisms type,exposure time(day),Tem(¡æ),photosynthetic and biochemical indexes,index groups,nc,nt,avc,avt,sdc,sdt,study_id,year,effect_size,variance
PS,plain,sphere,30,0.05,non,non,0,freshwater,Azolla fliculoides Lam.,Aquatic & Wetland Plants,C3,7,25,carotenoids,Light Reaction,5,5,0.1,0.08,0.02236068,0.002236068,33,2024,-0.228065426,0.010206262
PS,plain,sphere,50,0.05,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,13,25,carotenoids,Light Reaction,3,3,1.62712,1.43678,0.19526,0.18378,45,2025,-0.124080348,0.010280412
PS,plain,sphere,100,0.1,As(arsenic),Heavy Metal (HM),0.125,freshwater,Chlamydomonas reinhardtii,Algae & Microorganisms,Algae & Microorganisms,3,25,Pn,Simultaneous Effect,3,3,0.67005,0.84954,0.11492,0.03356,5,2021,-0.232700191,0.010373567
PS,plain,sphere,200,0.025,non,non,0,freshwater,Brassica napus L,Crops,C3,14,28,chlb,Light Reaction,3,3,5.70055,4.57922,0.63975,0.62218,52,2025,-0.218056307,0.010379551
PS,plain,sphere,100,0.1,As(arsenic),Heavy Metal (HM),0.125,freshwater,Chlamydomonas reinhardtii,Algae & Microorganisms,Algae & Microorganisms,3,25,Pn,Simultaneous Effect,3,3,0.75852,0.84954,0.13018,0.03356,5,2021,-0.108676836,0.010386746
PS,plain,sphere,80,0.01,Pb(lead),Heavy Metal (HM),0.01,freshwater,dandelion,Miscellaneous Plants,C3,7,25,Total chl,Light Reaction,3,3,5.41826,5.62586,0.719147495,0.660396332,8,2023,-0.036959607,0.010493056
PS,aminonted,sphere,22,0.001,non,non,0,soil,corn,Crops,C4,7,25,Fv/Fm,Light Reaction,3,3,0.76842,0.44081,0.092491513,0.057434805,10,2021,-0.555307759,0.010515807
PS,plain,sphere,100,0.1,non,non,0,freshwater,S. cereale,Crops,C3,7,22.5,Gs,Simultaneous Effect,4,4,19.53022,19.0381,1.1811,3.73257,47,2025,-0.021173098,0.010570588
PS,plain,sphere,70,0.0002,non,non,0,seawater,Platymonas helgolandica,Algae & Microorganisms,Algae & Microorganisms,6,20,chla,Light Reaction,3,3,1.00088,0.55864,0.13922,0.06228,18,2024,-0.584282838,0.010621731
PS,carboxylated,sphere,24,0.001,non,non,0,soil,corn,Crops,C4,5,25,Fv/Fm,Light Reaction,3,3,0.76842,0.56729,0.084420156,0.079916824,10,2021,-0.302169817,0.010668423
PS,plain,sphere,100,0.05,non,non,0,seawater,Alexandrium tamarense strain,Algae & Microorganisms,Algae & Microorganisms,0,20,chla,Light Reaction,3,3,1.15506,1.16875,0.18472,0.09348,30,2022,0.008586191,0.010696094
PS,carboxylated,sphere,80,0.01,Pb(lead),Heavy Metal (HM),0.01,freshwater,dandelion,Miscellaneous Plants,C3,7,25,chlb,Light Reaction,3,3,1.70925,1.88015,0.21955476,0.234346474,8,2023,-0.095136232,0.010706993
PS,plain,sphere,30,0.05,non,non,0,freshwater,Azolla fliculoides Lam.,Aquatic & Wetland Plants,C3,7,35,chlb,Light Reaction,5,5,0.14,0.13,0.02236068,0.02236068,33,2024,-0.073700413,0.011049722
PS,plain,sphere,100,0.005,non,non,0,seawater,Alexandrium tamarense strain,Algae & Microorganisms,Algae & Microorganisms,0,20,chla,Light Reaction,3,3,1.15506,1.15848,0.18472,0.10718,30,2022,0.00012057,0.01141865
PS,aminonted,sphere,300,0.05,non,non,0,freshwater,Chlorella vulgaris,Algae & Microorganisms,Algae & Microorganisms,3,22,chla,Light Reaction,3,3,408.43753,415.65013,48.17478,59.6061,36,2021,0.018613711,0.011526517
PMMA,plain,sphere,131.3,0.01,non,non,0,freshwater,Lettuce,Crops,C3,15,,Ci,Calvin Cycle,3,3,381.85048,546.88906,58.65828,58.16118,31,2022,0.357168901,0.011674031
