nanoplastics type,surface charge,nanoplastics shape,nanoplastics size(nm),nanoplastics dose(mg/g or mg/ml),adsorption of pollutant types,pollutant types,pollutants dose(mg/g or mg/ml),environmental media,photosynthetic organisms species,organisms category,organisms type,exposure time(day),Tem(¡æ),photosynthetic and biochemical indexes,index groups,nc,nt,avc,avt,sdc,sdt,study_id,year,effect_size,variance
PS,plain,sphere,80,1,non,non,0,seawater,Chaetoceros gracilis,Algae & Microorganisms,Algae & Microorganisms,4,24,Fv/Fm,Light Reaction,3,3,0.57323,0.58547,0.00281,0.00282,11,2025,0.021127773,1.57E-05
PS,plain,sphere,100,0.01,non,non,0,freshwater,dandelion,Miscellaneous Plants,C3,14,25,Fv/Fm,Light Reaction,3,3,0.803,0.798,0.004,0.004,35,2023,-0.006246065,1.66E-05
PS,plain,sphere,100,0.01,non,non,0,freshwater,dandelion,Miscellaneous Plants,C3,14,25,Fv/Fm,Light Reaction,3,3,0.803,0.798,0.004,0.004,35,2023,-0.006246065,1.66E-05
PVC,plain,sphere,537,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,4.79125,4.76809,0.03474,0.01621,50,2025,-0.004852368,2.14E-05
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,0.43521,0.42422,0.00178,0.00307,50,2025,-0.025570544,2.30E-05
PS,plain,sphere,80,1,non,non,0,seawater,Chaetoceros gracilis,Algae & Microorganisms,Algae & Microorganisms,4,28,Fv/Fm,Light Reaction,3,3,0.60856,0.55056,0.00471,0.0024,11,2025,-0.100166385,2.63E-05
PS,aminonted,sphere,50,0.003,non,non,0,freshwater,Navicula sp.,Algae & Microorganisms,Algae & Microorganisms,2,25,chla,Light Reaction,3,3,0.7368,0.60777,0.004174242,0.005681127,24,2025,-0.192510751,3.98E-05
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.96877,0.02175,0.02486,50,2025,0.034615101,0.000042548
PS,aminonted,sphere,250,0.01,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,carotenoids,Light Reaction,6,6,4.44692,4.10367,0.06422,0.03544,34,2024,-0.080341191,4.72E-05
PS,plain,sphere,61.71,1,non,non,0,soil,Triticum aestivum L.,Crops,C3,14,20.5,Ci,Calvin Cycle,4,4,319.95687,328.60883,2.95914,3.52278,27,2024,0.026685545,5.01E-05
PS,plain,sphere,61.71,1,non,non,0,soil,Triticum aestivum L.,Crops,C3,14,27.5,Ci,Calvin Cycle,4,4,317.99821,317.30774,3.88914,2.5364,27,2024,-0.002184372,5.34E-05
PS,aminonted,sphere,250,0.001,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,carotenoids,Light Reaction,6,6,4.44692,4.22547,0.06422,0.0465,34,2024,-0.051088512,0.000054944
PS,plain,sphere,50,0.01,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1844.74806,1874.50376,16.78527,17.54824,40,2024,0.016002056,5.68E-05
PP,plain,sphere,20,0.1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,4.75399,0.13534,0.05505,44,2025,-0.660669443,5.84E-05
PS,aminonted,sphere,100,0.001,non,non,0,freshwater,Sphagnum,Aquatic & Wetland Plants,C3,30,22,chla,Light Reaction,4,4,1.47033,1.11412,0.001,0.0173,55,2024,-0.277391928,6.04E-05
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.85534,0.02175,0.03418,50,2025,-0.004329503,6.69E-05
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.84602,0.02175,0.03418,50,2025,-0.007598745,6.73E-05
PE,plain,sphere,20,1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,6.12343,0.13534,0.08716,44,2025,-0.407525602,6.98E-05
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,4.79125,4.59674,0.03474,0.0602,50,2025,-0.041424158,7.47E-05
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,0.43521,0.42065,0.00178,0.00613,50,2025,-0.033994933,7.64E-05
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,0.43521,0.42014,0.00178,0.00638,50,2025,-0.035205039,8.24E-05
PP,plain,sphere,20,1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,6.44916,0.13534,0.1101,44,2025,-0.355690705,8.46E-05
PS,aminonted,sphere,250,0.01,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,carotenoids,Light Reaction,6,6,4.44692,4.16789,0.06422,0.07751,34,2024,-0.064790368,9.24E-05
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,chla,Light Reaction,3,3,2.11108,2.16235,0.02796,0.02331,50,2025,0.023986061,9.72E-05
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,3,25,Fv/Fm,Light Reaction,3,3,0.48577,0.48475,0.0051,0.00663,50,2025,-0.00208916,0.000099099
PS,plain,sphere,75,0.01,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,chla,Light Reaction,3,3,3.14978,2.37039,0.01422,0.03982,49,2022,-0.284234474,0.000100866
PS,plain,sphere,50,0.005,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1844.74806,1836.35543,16.78527,27.4668,40,2024,-0.004536365,0.000102173
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,2.67044,2.53837,0.0435,0.01709,50,2025,-0.05075778,0.000103562
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,chla,Light Reaction,3,3,2.11108,2.09088,0.02796,0.02486,50,2025,-0.00962031,0.000105596
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,2.67044,2.50884,0.0435,0.01865,50,2025,-0.062457772,0.000106873
PS,plain,sphere,400,0.001,TBBPA(tetrabromobisphenol A),Endocrine Disrupting Compound (EDC),0.00025,freshwater,S. obliquus,Algae & Microorganisms,Algae & Microorganisms,3,,carotenoids,Light Reaction,3,3,100,89.70086,0.001,1.60622,41,2025,-0.10863639,0.000106886
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,Fv/Fm,Light Reaction,3,3,4.85609,4.91167,0.08568,0.02547,50,2025,0.011333016,0.000112737
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,2.67044,2.67976,0.0435,0.02331,50,2025,0.003452372,0.000113674
PS,carboxylated,sphere,100,0.001,non,non,0,freshwater,Sphagnum,Aquatic & Wetland Plants,C3,30,22,chla,Light Reaction,4,4,1.47033,1.32323,0.001,0.02884,55,2024,-0.105351827,0.00011888
PVC,plain,sphere,537,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,Fv/Fm,Light Reaction,3,3,4.93019,4.82599,0.07642,0.05326,50,2025,-0.021381376,0.00012069
PVC,plain,sphere,537,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,4.61758,4.61526,0.02547,0.08568,50,2025,-0.000450185,0.000125029
PS,aminonted,sphere,50,0.003,non,non,0,freshwater,Navicula sp.,Algae & Microorganisms,Algae & Microorganisms,2,25,chlc,Light Reaction,3,3,0.32057,0.25792,-0.002650038,0.004555294,24,2025,-0.217410602,0.000126763
PS,plain,sphere,100,0.01,pyrene,Polycyclic Aromatic Hydrocarbon (PAH),0.0005,soil,water spinach,Crops,C3,40,25,chla,Light Reaction,3,3,3.25848,3.91069,0.00104,0.07646,53,2023,-0.182516693,0.000127463
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,chla,Light Reaction,3,3,2.11108,2.02717,0.02796,0.02952,50,2025,-0.040552826,0.000129161
PVC,plain,sphere,537,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,4.61758,4.64536,0.02547,0.088,50,2025,0.006052853,0.000129769
PMMA,plain,sphere,50,0.5,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1489.59328,1384.29571,23.60118,16.33928,40,2024,-0.073330238,0.000130122
PVC,plain,sphere,537,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,4.79125,4.54116,0.03474,0.08568,50,2025,-0.053558284,0.000136191
PVC,plain,sphere,537,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,3,25,Fv/Fm,Light Reaction,3,3,4.69399,4.93482,0.09263,0.02316,50,2025,0.049971999,0.000137157
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,2.67044,2.67976,0.0435,0.03263,50,2025,0.003464472,0.000137876
PS,plain,sphere,100,0.001,pyrene,Polycyclic Aromatic Hydrocarbon (PAH),0.0005,soil,water spinach,Crops,C3,20,25,carotenoids,Light Reaction,3,3,0.71091,0.78879,0.00218,0.01608,53,2023,-0.104021981,0.000141669
PE,plain,sphere,20,0.1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Tr,Simultaneous Effect,6,6,0.66735,0.66151,0.01392,0.01391,44,2025,-0.008788955,0.000146213
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.91128,0.02175,0.05749,50,2025,0.015113529,0.000149168
PS,plain,sphere,75,0.1,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,chla,Light Reaction,3,3,3.14978,2.19972,0.01422,0.04551,49,2022,-0.358934587,0.000149482
PS,plain,sphere,100,0.1,pyrene,Polycyclic Aromatic Hydrocarbon (PAH),0.0005,soil,water spinach,Crops,C3,20,25,chla,Light Reaction,3,3,7.382,6.03696,0.002,0.12808,53,2023,0.201069023,0.000150075
PS,plain,sphere,100,0.1,non,non,0,freshwater,S. cereale,Crops,C3,7,22.5,chla,Light Reaction,4,4,6.02238,4.60466,0.10652,0.07863,47,2025,-0.268416352,0.000151115
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,chla,Light Reaction,3,3,1.18191,1.14617,0.02175,0.01243,50,2025,-0.030742664,0.000152093
PS,plain,sphere,50,0.001,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1844.74806,1822.62203,16.78527,35.85943,40,2024,-0.012015858,0.000156636
PVC,plain,sphere,537,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,Fv/Fm,Light Reaction,3,3,4.85609,4.92093,0.08568,0.06252,50,2025,0.013238968,0.00015758
PS,plain,sphere,100,0.01,pyrene,Polycyclic Aromatic Hydrocarbon (PAH),0.0005,soil,water spinach,Crops,C3,20,25,chla,Light Reaction,3,3,6.44071,6.03696,0.03822,0.12808,53,2023,0.064669058,0.000161789
PS,plain,sphere,50,0.05,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1844.74806,1809.65159,16.78527,36.6224,40,2024,-0.019153921,0.000164122
PS,plain,sphere,100,0.01,pyrene,Polycyclic Aromatic Hydrocarbon (PAH),0.0005,soil,water spinach,Crops,C3,20,25,chlb,Light Reaction,3,3,2.45541,2.33645,0.00118,0.05242,53,2023,0.049577215,0.000167879
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,chla,Light Reaction,3,3,3.87462,3.57319,0.08701,0.00621,50,2025,-0.081072384,0.000169118
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,chla,Light Reaction,3,3,3.87462,3.70837,0.08701,0.01243,50,2025,-0.043937342,0.000171856
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,chla,Light Reaction,3,3,1.18191,1.14307,0.02175,0.01553,50,2025,-0.033439826,0.00017442
PE,plain,sphere,20,1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Tr,Simultaneous Effect,6,6,0.66735,0.6006,0.01392,0.01492,44,2025,-0.105370321,0.000175374
PVC,plain,sphere,537,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,3,25,Fv/Fm,Light Reaction,3,3,4.69399,5.14092,0.09263,0.0602,50,2025,0.090907035,0.000175524
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,chla,Light Reaction,3,3,3.87462,3.49705,0.08701,0.01709,50,2025,-0.102607905,0.000176072
PS,plain,sphere,50,0.05,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,3,22,chla,Light Reaction,3,3,1329.74553,1283.20456,16.0223,25.1779,40,2024,-0.035587114,0.000176733
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,0.39792,0.43342,0.00868,0.00332,50,2025,0.08538673,0.00017818
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,3.32224,3.16906,0.07659,0.00781,50,2025,-0.047291807,0.000179198
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,chla,Light Reaction,3,3,1.18191,1.21143,0.02175,0.01709,50,2025,0.024646434,0.00017923
PVC,plain,sphere,537,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,3.32224,3.52387,0.07659,0.01251,50,2025,0.058834085,0.000181375
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,chla,Light Reaction,3,3,1.18191,1.1757,0.02175,0.01709,50,2025,-0.005289285,0.000183324
PS,plain,sphere,50,0.01,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,3,22,chla,Light Reaction,3,3,1329.74553,1345.76783,16.0223,27.4668,40,2024,0.012022364,0.000187258
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,Fv/Fm,Light Reaction,3,3,0.46993,0.46968,0.01073,0.00306,50,2025,-0.000611954,0.000187949
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,Fv/Fm,Light Reaction,3,3,0.46993,0.47938,0.01073,0.00332,50,2025,0.019830956,0.000189788
PVC,plain,sphere,537,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,Fv/Fm,Light Reaction,3,3,4.93019,4.84683,0.07642,0.08799,50,2025,-0.017037759,0.000189954
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,Fv/Fm,Light Reaction,3,3,4.93019,4.71483,0.07642,0.088,50,2025,-0.04464665,0.000196219
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,Fv/Fm,Light Reaction,3,3,0.42193,0.42754,0.00944,0.00409,50,2025,0.013140252,0.000197375
PS,plain,sphere,100,0.0001,non,non,0,freshwater,Sphagnum,Aquatic & Wetland Plants,C3,30,22,chla,Light Reaction,4,4,1.47033,1.57849,0.001,0.0447,55,2024,0.071082011,0.000200616
PS,plain,sphere,400,0.001,TBBPA(tetrabromobisphenol A),Endocrine Disrupting Compound (EDC),0.00025,freshwater,S. obliquus,Algae & Microorganisms,Algae & Microorganisms,3,,chla,Light Reaction,3,3,100,91.96339,0.001,2.25633,41,2025,-0.083679294,0.000200677
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,3,25,Fv/Fm,Light Reaction,3,3,4.69399,5.15249,0.09263,0.07642,50,2025,0.093168886,0.000203144
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,0.39792,0.41248,0.00868,0.00511,50,2025,0.035883014,0.000209781
PVC,plain,sphere,537,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,chla,Light Reaction,3,3,3.32224,3.37225,0.07659,0.03439,50,2025,0.014869677,0.00021184
PMMA,plain,sphere,50,0.005,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1489.59328,1473.254,23.60118,29.04761,40,2024,-0.011006604,0.000213272
PS,plain,sphere,305.3,0.05,As(arsenic),Heavy Metal (HM),0.001,freshwater,rice,Crops,C3,14,,chla,Light Reaction,5,5,41.58163,35.06803,1.12245,0.64626,46,2024,-0.170407499,0.000213671
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,0.39792,0.41452,0.00868,0.00536,50,2025,0.040818807,0.000214356
PE,plain,sphere,20,0.1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,5.7587,0.13534,0.19039,44,2025,-0.46886204,0.000218228
PVC,plain,sphere,537,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,4.61758,4.58516,0.02547,0.11578,50,2025,-0.006944559,0.000222702
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,chla,Light Reaction,3,3,3.87462,3.86375,0.08701,0.04972,50,2025,-0.002865828,0.00022331
PS,plain,sphere,20,0.01,non,non,0,freshwater,Cichorium endivia L.,Crops,C3,14,22.5,carotenoids,Light Reaction,3,3,1.43035,2.24133,0.02915,0.036,48,2022,0.449124046,0.000224451
PS,plain,sphere,75,0.001,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,chla,Light Reaction,3,3,3.14978,2.43865,0.01422,0.06258,49,2022,-0.255781644,0.000226326
PS,plain,sphere,200,0.01,non,non,0,freshwater,Cichorium endivia L.,Crops,C3,14,22.5,Total chl,Light Reaction,3,3,3.44016,12.132,0.08875,0.04699,48,2022,1.260220184,0.000226875
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,chla,Light Reaction,3,3,2.11108,1.9992,0.02796,0.04506,50,2025,-0.054397132,0.000227823
PS,plain,sphere,108.15,0.015,non,non,0,seawater,Prorocentrum donghaiense,Algae & Microorganisms,Algae & Microorganisms,20,,carotenoids,Light Reaction,3,3,1.00612,1.4159,0.02624,0.00375,20,2024,0.341551827,0.000229093
PP,plain,sphere,20,1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Pn,Simultaneous Effect,6,6,4.54357,3.47961,0.12708,0.08596,44,2025,-0.266807161,0.000232107
PS,aminonted,sphere,75,0.001,non,non,0,freshwater,Brassica rapa L.,Crops,C3,2.75,25,chla,Light Reaction,3,3,3.14693,2.30212,0.03129,0.05689,49,2022,-0.312511634,0.000236537
PS,aminonted,sphere,250,0.01,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,chla,Light Reaction,6,6,4.2299,4.06824,0.1528,0.04872,34,2024,-0.039064671,0.000241415
PS,plain,sphere,108.15,0.015,non,non,0,seawater,Prorocentrum donghaiense,Algae & Microorganisms,Algae & Microorganisms,20,,chla,Light Reaction,3,3,1.15999,1.81556,0.02571,0.02828,20,2024,0.44794114,0.000244639
PVC,plain,sphere,537,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,3,25,Fv/Fm,Light Reaction,3,3,4.69399,4.86535,0.09263,0.09031,50,2025,0.035848209,0.00024467
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,0.39792,0.42652,0.00868,0.0069,50,2025,0.069372593,0.000245861
PS,plain,sphere,80,0.0001,BDE(decabromodiphenyl ether),Persistent Organic Pollutant (POP),0.0003,freshwater,Salvinia natans,Aquatic & Wetland Plants,C3,14,25,Total chl,Light Reaction,3,3,4.629,4.477,0.001,0.122,1,2024,0.033263927,0.000247574
PS,plain,sphere,80,0.01,BDE(decabromodiphenyl ether),Persistent Organic Pollutant (POP),0.0003,freshwater,Salvinia natans,Aquatic & Wetland Plants,C3,14,25,Total chl,Light Reaction,3,3,4.217,4.477,0.001,0.122,1,2024,-0.059952959,0.000247577
PS,aminonted,sphere,250,0.05,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,carotenoids,Light Reaction,6,6,4.44692,4.00402,0.06422,0.14616,34,2024,-0.104819204,0.000256867
PVC,plain,sphere,537,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,Fv/Fm,Light Reaction,3,3,4.93019,5.01355,0.07642,0.11579,50,2025,0.016815576,0.000257906
PS,aminonted,sphere,50,0.005,non,non,0,freshwater,Navicula sp.,Algae & Microorganisms,Algae & Microorganisms,2,25,chla,Light Reaction,3,3,0.7368,0.51247,0.004174242,0.014046932,24,2025,-0.362954441,0.000261171
PS,plain,sphere,100,0.0001,non,non,0,freshwater,Haematococcus pluvialis,Algae & Microorganisms,Algae & Microorganisms,12,25,chlb,Light Reaction,3,3,0.90154,0.78663,0.02317,0.00876,2,2024,-0.136435831,0.000261534
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,Fv/Fm,Light Reaction,3,3,4.61758,4.58516,0.02547,0.12736,50,2025,-0.006922238,0.000267354
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,Fv/Fm,Light Reaction,3,3,0.46993,0.49087,0.01073,0.00843,50,2025,0.043557842,0.000272115
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,4,25,Fv/Fm,Light Reaction,3,3,0.42193,0.43342,0.00944,0.00791,50,2025,0.026839895,0.000277899
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,3,25,Fv/Fm,Light Reaction,3,3,0.48577,0.49368,0.0051,0.01328,50,2025,0.016254504,0.000277975
PS,aminonted,sphere,50,0.001,non,non,0,freshwater,Navicula sp.,Algae & Microorganisms,Algae & Microorganisms,2,25,chla,Light Reaction,3,3,0.7368,0.72037,0.004174242,0.020490161,24,2025,-0.022422022,0.000280421
PS,plain,sphere,305.3,0.05,non,non,0,freshwater,rice,Crops,C3,14,,Pn,Simultaneous Effect,5,5,13.62553,13.48153,0.39743,0.32256,46,2024,-0.01065247,0.000284667
PS,plain,sphere,305.3,0.05,non,non,0,freshwater,rice,Crops,C3,14,,Pn,Simultaneous Effect,5,5,13.62553,13.48153,0.39743,0.32256,46,2024,-0.01065247,0.000284667
PVC,plain,sphere,537,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,1,25,chla,Light Reaction,3,3,1.08238,1.0433,0.02814,0.01407,50,2025,-0.036855893,0.000285955
PE,plain,sphere,20,0.1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Pn,Simultaneous Effect,6,6,4.54357,3.05104,0.12708,0.09344,44,2025,-0.398217559,0.000286722
PS,plain,sphere,685.1,0.1,As(arsenic),Heavy Metal (HM),0.001,freshwater,rice,Crops,C3,14,,chla,Light Reaction,5,5,41.58163,41.9898,1.12245,1.12244,46,2024,0.009766837,0.000288667
PVC,plain,sphere,537,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,7,25,chla,Light Reaction,3,3,4.71648,4.62895,0.11254,0.08128,50,2025,-0.018776203,0.000292579
PS,plain,sphere,256.8,0.01,non,non,0,freshwater,rice,Crops,C3,14,,Pn,Simultaneous Effect,5,5,13.62553,13.70041,0.39743,0.33983,46,2024,0.005456969,0.000293228
PS,plain,sphere,256.8,0.01,non,non,0,freshwater,rice,Crops,C3,14,,Pn,Simultaneous Effect,5,5,13.62553,13.70041,0.39743,0.33983,46,2024,0.005456969,0.000293228
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,5,25,Fv/Fm,Light Reaction,3,3,0.48117,0.49266,0.01353,0.00485,50,2025,0.023483016,0.000295899
PS,plain,sphere,685.1,0.1,non,non,0,freshwater,rice,Crops,C3,14,,chla,Light Reaction,5,5,45.05102,44.98299,1.46259,0.95238,46,2024,-0.00157178,0.000300475
PS,plain,sphere,685.1,0.1,non,non,0,freshwater,rice,Crops,C3,14,,chla,Light Reaction,5,5,45.05102,44.98299,1.46259,0.95238,46,2024,-0.00157178,0.000300475
